,OR,date,s_min,s_max,s_skew,s_kurt,d_min,d_max,d_skew,d_kurt,i_min,i_max,i_skew,i_kurt,c_min,c_max,c_skew,c_kurt
246,3843,20210906,36102,41641,0.28416957403453724,-1.4999999999999987,31540,37758,0.534831700887337,-1.500000000000002,346.326,392.939,0.3097145888154425,-1.4999999999999976,304.631,345.632,0.3096690237920979,-1.5000000000000013
247,3860,20210907,36102,42118,-0.6909565568846694,-1.5000000000000024,31540,38275,-0.6920016006062785,-1.5000000000000022,346.326,406.246,-0.56750580450974,-1.5000000000000018,304.631,357.338,-0.5674842124730469,-1.5000000000000036
248,3902,20210908,41641,42350,-0.39385653162787054,-1.4999999999999873,37758,38490,-0.4563504967194964,-1.4999999999999853,392.939,409.184,-0.6165794743552331,-1.5000000000000198,345.632,359.921,-0.6166715387134526,-1.4999999999999927
249,3303,20210909,42075,42350,0.6404861123509341,-1.4999999999999998,38173,38490,0.40445032190992075,-1.4999999999999707,406.246,409.184,-0.5318235542580032,-1.4999999999999032,357.338,359.921,-0.5324888910580463,-1.5000000000000366
250,3720,20210910,42040,42350,0.6734499939352787,-1.5000000000000004,38173,38737,-0.15058585906328975,-1.5000000000000062,408.457,412.307,0.6079514546560362,-1.500000000000055,359.283,362.668,0.6083416682041114,-1.4999999999999374
251,4008,20210911,40446,42075,-0.7059816151274584,-1.4999999999999913,36726,38737,-0.4793083775104281,-1.500000000000006,397.265,412.307,-0.5189448434441736,-1.5000000000000062,349.437,362.668,-0.5191165898538568,-1.5000000000000144
252,3846,20210912,33924,42040,-0.5993764042322334,-1.4999999999999987,29916,38737,-0.5595776626919217,-1.4999999999999984,340.626,412.307,-0.5832257904397504,-1.5000000000000027,299.617,362.668,-0.5832262949063121,-1.500000000000003
253,3958,20210913,33924,40518,-0.7068191570489112,-1.5,29916,36726,-0.706955538835364,-1.5,340.626,397.265,-0.5946231087052926,-1.4999999999999996,299.617,349.437,-0.5946479565731757,-1.4999999999999958
254,3899,20210914,33924,42019,-0.6116891902509624,-1.4999999999999987,29916,38061,-0.6271294263560363,-1.5,340.626,403.234,-0.4856409036381304,-1.4999999999999998,299.617,354.688,-0.48565873911112384,-1.5
255,4841,20210915,40518,42217,-0.6711463941173087,-1.5000000000000084,36672,38318,-0.6406900006719078,-1.5000000000000084,385.911,403.234,-0.7055428807404647,-1.4999999999999931,339.451,354.688,-0.7055449912920867,-1.500000000000008
256,4647,20210916,42019,42354,-0.21855833026646518,-1.5000000000000155,37513,38318,-0.40927533244879966,-1.5,398.094,403.234,-0.6883587403347371,-1.5,350.166,354.688,-0.6883927641535112,-1.500000000000026
257,4609,20210917,42107,42354,0.13290640328552236,-1.5,37460,38318,0.6974526271905417,-1.4999999999999825,397.146,402.796,0.6298198576253777,-1.500000000000039,349.333,354.303,0.629996391310256,-1.5000000000000657
258,3153,20210918,38292,42354,-0.6977596383434188,-1.5000000000000042,33683,37513,-0.7066434899491261,-1.5000000000000036,370.809,398.094,-0.7041270793830376,-1.5000000000000047,326.166,350.166,-0.7041333570958273,-1.5000000000000049
259,6911,20210919,34442,42107,-0.005592371077792182,-1.5,31289,37460,0.26623523683184125,-1.5,351.548,397.146,0.18729047367900023,-1.500000000000002,309.225,349.333,0.18734744979249257,-1.4999999999999996
260,6556,20210920,34442,38292,-0.7027064572342365,-1.500000000000003,31219,33683,0.7051265462071521,-1.5000000000000029,351.046,370.809,0.7055282350356472,-1.4999999999999942,308.784,326.166,0.7055319977374702,-1.5000000000000067
261,3816,20210921,34442,38130,-0.7047568166647135,-1.500000000000004,31219,31460,0.4620906427006097,-1.5000000000000222,351.046,351.665,-0.6077481940891084,-1.5,308.784,309.327,-0.6090404868971977,-1.4999999999998044
262,3133,20210922,38016,41725,0.7047837369614424,-1.5000000000000038,31219,37909,0.7038997176265492,-1.500000000000002,351.046,393.897,0.7066016353320179,-1.5000000000000004,308.784,346.475,0.706604363037094,-1.4999999999999964
263,4457,20210923,38016,41725,-0.651762183634833,-1.5000000000000038,31460,38061,-0.7058124823136785,-1.4999999999999998,351.665,403.436,-0.6129541852645161,-1.499999999999996,309.327,354.866,-0.612947811410423,-1.4999999999999978
264,5348,20210924,41194,42195,-0.0744656970929288,-1.5000000000000022,37738,38061,-0.07189170149286138,-1.5000000000000053,393.897,403.436,-0.6163781435374562,-1.5000000000000118,346.475,354.866,-0.6163981623403777,-1.4999999999999745
265,3209,20210925,38991,42195,-0.4222269029407774,-1.499999999999997,33643,38061,-0.6934481450809301,-1.500000000000003,370.911,403.436,-0.7000288037072184,-1.5,326.257,354.866,-0.7000294691189923,-1.5
266,4395,20210926,34592,42195,-0.18962360462682004,-1.5000000000000004,31383,37738,0.3362530553953748,-1.499999999999999,347.777,401.709,0.17191300040262994,-1.4999999999999998,305.907,353.347,0.1718768033498134,-1.5000000000000009
267,5268,20210927,34592,41573,-0.3059529377272659,-1.499999999999999,31383,37178,0.2616570819854467,-1.5000000000000002,347.777,390.797,-0.09214663532792432,-1.4999999999999993,305.907,343.748,-0.09221111811586999,-1.4999999999999993
268,4843,20210928,34592,42230,-0.6879907436715875,-1.5,31383,37178,-0.7036693458710501,-1.4999999999999971,347.777,395.201,-0.6846992722739227,-1.4999999999999998,305.907,347.623,-0.6846864212352697,-1.4999999999999998
269,5212,20210929,41573,42230,-0.363435180111905,-1.5,36962,37178,-0.6930738653393647,-1.5000000000000682,390.797,395.212,-0.7070919299510702,-1.5,343.748,347.631,-0.7070966304576228,-1.4999999999999707
